Date,Open,High,Low,Close,Adj Close,Volume
1/1/2009,11.31,12.65,6.74,6.9,6.497638,268512000
2/1/2009,7.09,7.67,4.86,5.03,4.736684,275129100
3/1/2009,4.85,6.45,3.51,5.63,5.301697,302426500
4/1/2009,5.52,8.27,5.36,6.17,5.810207,329175000
5/1/2009,6.28,7.88,5.4,5.81,5.4712,285442300
6/1/2009,6.09,7.25,5.31,5.79,5.452366,273395900
7/1/2009,5.82,6.95,5.56,6.93,6.525888,236887900
8/1/2009,7.04,7.79,6.55,7.22,6.798977,203721800
9/1/2009,7.12,9.88,6.74,8.96,8.437513,317881100
10/1/2009,8.95,9.2,6.92,7.14,6.723643,277153900
11/1/2009,7.14,8.19,6.78,8.19,7.712412,155565700
12/1/2009,8.31,12.08,8.2,11.38,10.716394,326898000
1/1/2010,11.22,13.73,10.95,12.23,11.516829,334450000
2/1/2010,12.37,13.21,10.93,12.92,12.166593,215161100
3/1/2010,12.93,14.9,12.33,14.59,13.739209,236270900
4/1/2010,14.63,14.94,11.95,12.08,11.375576,320889200
5/1/2010,12.3,14.48,10.9,13.58,12.788107,291751900
6/1/2010,13.31,14.5,11.24,11.75,11.064817,242373500
7/1/2010,11.97,12.4,10.4,11.88,11.187239,214598200
8/1/2010,12.08,12.8,9.6,10.46,9.850041,190329500
9/1/2010,10.83,12,10.4,11.64,10.961233,163448700
10/1/2010,11.75,14.1,10.96,13.89,13.080028,230192000
11/1/2010,13.9,14.54,12.87,13.68,12.882275,206887700
12/1/2010,13.96,14.1,12.15,12.6,11.865253,198093300
1/1/2011,12.69,13.21,11.11,11.67,10.989486,324281300
2/1/2011,11.75,12.13,10.37,11.24,10.584558,341922300
3/1/2011,11.26,11.64,9.71,9.8,9.22853,452248800
4/1/2011,9.89,10.7,8.91,10.38,9.774707,375167700
5/1/2011,10.66,11.6,9.91,10.08,9.492201,331129700
6/1/2011,10.08,10.18,9.1,9.17,8.635269,295128600
7/1/2011,9.24,9.41,7.28,7.89,7.429908,318176700
8/1/2011,8.2,8.24,6.41,7.53,7.0909,397106500
9/1/2011,7.55,8.57,7.06,7.5,7.062649,242961900
10/1/2011,7.39,8.98,6.64,8.52,8.02317,269119600
11/1/2011,8.2,8.5,7.08,8.12,7.646495,263450700
12/1/2011,8.04,9.13,7.93,8.09,7.618247,232763800
1/1/2012,8.23,10.88,7.83,10.55,9.934796,264433700
2/1/2012,10.68,11.58,9.4,9.81,9.237947,211720500
3/1/2012,9.8,10.28,9.07,9.92,9.341533,277353800
4/1/2012,9.88,11.12,9.78,10.96,10.320888,224817200
5/1/2012,11.14,12.25,10.03,12.1,11.394408,292242800
6/1/2012,12.02,12.04,9.89,10.95,10.31147,291373700
7/1/2012,11.11,11.25,9.08,9.65,9.087276,265618800
8/1/2012,9.49,9.93,8.46,8.65,8.145591,277357400
9/1/2012,8.66,9.7,8.42,9.16,8.62585,200072700
10/1/2012,9.12,10.49,9.11,9.63,9.068442,215469500
11/1/2012,9.64,10.5,9.21,10,9.416867,186004300
